Scenario	Replication	[CycleTime].SampleAverage/1[h]		[New].SampleAverage/1[h]		[Return].SampleAverage/1[h]		[FU].SampleAverage/1[h]		[WaitingRoom].AverageQueueTime/1[h]		[WaitingRoom2].AverageQueueTime/1[h]		[WaitDoc].AverageQueueTime/1[h]		[DocUtil].Value		[PAUtil].Value		[CAUtil].Value		[Rejected].NumberProcessed		[SorryWeAreClosing].NumberProcessed		[SorryWeAreClosing2].NumberProcessed	
4	2	1.4726949043324764		1.5616954473171158		1.3494333304781163		1.5500368411298782		0.4469369700464827		0.6255874156788555		0.4216527696258864		0.9686450093962847		0.43014658293291663		0.24151806414493054		138.0		1085.0		1949.0	
4	3	1.4870575196960265		1.579110655690853		1.3666278408181922		1.5558018199667025		0.4616312464064681		0.6334592999323019		0.4255089863342096		0.9718562519544097		0.4340312019544444		0.24129266933552082		123.0		1147.0		1966.0	
4	4	1.4698689381517915		1.561665758917899		1.3499353093006254		1.5392822237855734		0.4414053832608351		0.6204291458905042		0.4209850202561141		0.9730404569030208		0.4290359625004514		0.24156837463291667		116.0		1008.0		1894.0	
4	5	1.4702212973999236		1.5544271613083516		1.3539629343583781		1.54223263196477		0.44580157325460484		0.6228820604866697		0.42203552518160664		0.970966585140868		0.43309153132107636		0.24160903655277774		147.0		1119.0		1855.0	
4	6	1.4684276891208943		1.5533168857616888		1.3444066647608754		1.550594647422237		0.4382396992219236		0.6321386408041343		0.4190024283882905		0.9693795368646527		0.43734841231611116		0.24256134126118056		137.0		1068.0		1892.0	
4	7	1.4780180056707934		1.5731285441545098		1.3572522383070043		1.545077727925774		0.45113487881140485		0.6228124705857816		0.41995130721593726		0.9719116791435763		0.4351245053710764		0.2431768886851736		167.0		1047.0		1841.0	
4	8	1.4769675770830988		1.555492629105052		1.3527275309273872		1.5679109303434873		0.44695489550472384		0.6431040564606644		0.4255659610959059		0.9724519503232986		0.42732904225173607		0.24035061210947917		126.0		1181.0		1936.0	
4	9	1.5176898570944513		1.6238192259528623		1.3884481379505715		1.5814853335311083		0.4807973117707879		0.6484989816533617		0.4360336571750916		0.9787905901013542		0.43310173655166667		0.24022726185701387		124.0		1185.0		1992.0	
4	10	1.4873693275343507		1.5767721116833173		1.3679038214832382		1.5584928141523513		0.45980042333787763		0.6354638265425139		0.42648538648639683		0.9760160341972569		0.4322993538511458		0.24162993458406248		120.0		1167.0		2006.0	
4		1.479987126794314	0.010648781121044676	1.570147399303998	0.015019457888233377	1.3574489331436623	0.009733086604855222	1.5545205013611614	0.009022070062450304	0.4514401746863256	0.009165705909704844	0.6322409157930792	0.006693365396977474	0.42354738934180036	0.003743690598585911	0.9723221628553125	0.002199320807264854	0.4332872092452187	0.002921574525009817	0.24151039030542706	6.337243544996708E-4	134.89999999999998	11.604988377417701	1106.1	44.67785628742723	1931.9	41.93141719570184

5	1	1.5536823273890088		1.4756970885295424		1.3139376790733173		1.955158143905161		0.38380849363826336		0.9622640885841358		0.38273192502670045		0.9882579202365277		0.5276438961106944		0.2590879944464583		90.0		441.0		222.0	
5	2	1.5215559266428966		1.449431082532121		1.2878505519187708		1.9070261500814076		0.3618105656871522		0.9214720186345756		0.3799916259476034		0.9845909768440625		0.5180450095277083		0.2597329923731944		77.0		410.0		178.0	
5	3	1.5478422108204544		1.4801759494585578		1.3054283001736706		1.9418006701810007		0.3829595200715922		0.950816605798807		0.3827814006611787		0.9875033122318749		0.5216126046886458		0.2597749280661805		73.0		472.0		191.0	
5	4	1.5338014857610216		1.4615053706939785		1.2869243940150175		1.937400959755823		0.36853471142997307		0.9505309176515049		0.3823979680712238		0.9854342459425347		0.5125960918779514		0.25858318432472227		68.0		440.0		202.0	
5	5	1.5310902946913196		1.4646561142339973		1.2995212462898382		1.9060295466495374		0.374530696273692		0.915836211087541		0.38286878223222526		0.986097618751354		0.5163532067699652		0.2596132532697222		92.0		444.0		157.0	
5	6	1.5396684424322695		1.468250099977698		1.3076328375540658		1.924769155586584		0.3790691124141834		0.9378875039233354		0.3833094273563102		0.9859334613399304		0.5157862992223263		0.2595818070628819		89.0		429.0		212.0	
5	7	1.5465247768792874		1.464034167934134		1.3100599117849383		1.947554108830751		0.3864503534263135		0.9600724384950479		0.3788844813834486		0.9776909068018749		0.5204559505176042		0.259991838380625		88.0		471.0		222.0	
5	8	1.5527638079574646		1.4842568139795693		1.319947180819717		1.933819348431593		0.3900784762694689		0.9359527780491018		0.3875773387181356		0.9886502457781944		0.5128903832060416		0.2591119703185417		81.0		463.0		173.0	
5	9	1.5721625119347122		1.501164516037939		1.3348723362020993		1.96151373599795		0.3967982073096553		0.9588476361983068		0.39285188262141024		0.9959044486815277		0.5209148589146875		0.2591167232652431		72.0		460.0		187.0	
5	10	1.5570436550997433		1.4866319962669166		1.3213437126888432		1.9448324973179139		0.390341699675882		0.9486606548108566		0.3873657112533321		0.9919440650126735		0.5212251220647917		0.2609106297954861		71.0		449.0		204.0	
5		1.5456135439608178	0.01045340622419522	1.4735803199644453	0.010720004033999711	1.3087518150520279	0.010678030761948764	1.9359904316737724	0.013347513110327301	0.3814381836196176	0.007644761058135582	0.9442340853233213	0.011498128173724202	0.3840760543271568	0.002940358228113468	0.9872007201620554	0.003411840319848005	0.5187523422900416	0.003271437306548933	0.25955053213030554	4.5636647654022036E-4	80.10000000000001	6.472553131493013	447.9	13.921257818171464	194.79999999999995	15.403760507096962

6	1	1.5731319936563646		1.5815069295619122		1.457619661820821		1.720152218193838		0.4956837649211271		0.7889973646496709		0.4242362658609334		0.974451355929757		0.492143534385625		0.24860710012680554		90.0		1078.0		982.0	
6	2	1.5363572700149286		1.5465097197300999		1.4282720683639294		1.6714570098772192		0.4671269408752027		0.7432989176294585		0.41857575601248453		0.9736312183609028		0.48447175200958326		0.2507195381246875		77.0		955.0		878.0	
6	3	1.5566655648640204		1.5624005629259745		1.438309259300574		1.709611323386263		0.4839429790404197		0.7809974916345496		0.421314018710401		0.9776402111564584		0.4884190757130208		0.24977532169409722		73.0		1077.0		937.0	
6	4	1.5543192094253766		1.5784945768024405		1.4402246651984116		1.681585534295568		0.4890952195964191		0.7437425852113134		0.42544830102940073		0.9758751405598611		0.477826748237743		0.24887573288368053		68.0		1076.0		893.0	
6	5	1.5501503327545119		1.5613475023317334		1.445714572594156		1.6778152472950907		0.4852999212274664		0.7449968624610315		0.4226018742288118		0.9754645463879513		0.4831881896751042		0.25013561465899303		93.0		1021.0		869.0	
