Scenario	Replication	[EntitySink1].NumberProcessed		[CycleTime].NumberProcessed		[CycleTime].SampleAverage /1[h]		[CycleTime].SampleStandardDeviation /1[h]		[New].SampleAverage /1[h]		[New].SampleStandardDeviation /1[h]		[Return].SampleAverage /1[h]		[Return].SampleStandardDeviation /1[h]		[FU].SampleAverage /1[h]		[FU].SampleStandardDeviation /1[h]		[WaitingTime].SampleAverage /1[h]		[WaitingTime].SampleStandardDeviation /1[h]		[RejectedClosing].SampleAverage		[RejectedClosing].SampleStandardDeviation	
1		17960.699999999997	55.688961789209394	16861.4	66.47287263117147	1.620228298310417	0.010296161383168636	0.820987569088196	0.004446216022718922	1.6590456211482574	0.011743955888477282	0.7668232297617655	0.007654390628120332	1.4231128397492057	0.013683753465647092	0.7361640469999863	0.003510974490886959	1.8572671439483606	0.013064783488483646	0.9162198794406409	0.008638218100439188	1.1027784656937898	0.008170250819511952	0.797136029902864	0.0039347786770599314	0.0612081680996607	0.0016606423591989184	0.23967438961057397	0.003040765555002049

2	1	17885.0		16871.0		1.5636952092716705		0.8228989852668859		1.5749492065852868		0.7545509168779378		1.3581862706763645		0.7373857987213958		1.8448884666844538		0.9200022958202607		1.0517799427916177		0.7991895475151527		0.056695554934302374		0.231266425217375	
2	2	18095.0		17060.0		1.5898543698566026		0.8334955688882684		1.6008581608439456		0.7468300484932253		1.3667069842383082		0.7217705217689939		1.8901195556154435		0.9599532050437094		1.077910282046202		0.8101560875892382		0.05719812102790843		0.23222720842133354	
2	3	17908.0		16870.0		1.573273720916173		0.8132055147099922		1.5981470338116366		0.7449913899859161		1.3765436852846642		0.7378241606108772		1.8293506844285639		0.9072289312682923		1.0613639258976066		0.7901011917704004		0.05796292159928535		0.23367984634067382	
2	4	17845.0		16880.0		1.5601380736715638		0.8089798040817943		1.589790162413125		0.7482841979709716		1.3611855002701567		0.7249567577454831		1.8140879180144558		0.9052303018609922		1.0489553261651912		0.786200379138634		0.05407677220509968		0.22617546631194488	
2	5	18013.0		17007.0		1.5895424601151045		0.8156446455103797		1.6185891972998292		0.7466324881024229		1.384448392857615		0.7262318830519632		1.846198288768302		0.9208292260214022		1.0736990421293737		0.7909606300203412		0.05584855382223978		0.2296354073805495	
2	6	17956.0		16990.0		1.5695136365996865		0.8035884417477377		1.6158447437580412		0.7648912188253728		1.360112226693408		0.7139171923672494		1.8091574918787927		0.8822306026205702		1.0571312376957525		0.7814593249543035		0.0537981733125418		0.22562527550030512	
2	7	17897.0		16987.0		1.5421679457336848		0.7880008780999318		1.5679405349232096		0.7248202156045049		1.3447801549017222		0.6888115360625382		1.7936443915950058		0.9021550129794682		1.0310037198144653		0.7685260282728882		0.05084651058836682		0.2196903268357949	
2	8	18042.0		17005.0		1.5899748672437806		0.8095269157405224		1.6214919300621615		0.7516521036536528		1.3854247673011566		0.7246596303891022		1.8437644968291715		0.8991080558686357		1.0769556525155035		0.7862200692770727		0.05747699811550837		0.2327582342182034	
2	9	17973.0		16916.0		1.5877355072822146		0.8052537391162298		1.6396065630139565		0.7586779799707698		1.3808825056844465		0.716609295531861		1.823632543242655		0.8932859978473854		1.0698938688280228		0.782779350315571		0.058810437879040355		0.23527611473501453	
